Shiver,Coldplay,2000,67,88,40013816,"['permanent wave', 'pop']",793225012,4202
Yellow,Coldplay,2000,89,88,40013816,"['permanent wave', 'pop']",2102644361,2107
Trouble,Coldplay,2000,73,88,40013816,"['permanent wave', 'pop']",1069634882,4205
Don't Panic,Coldplay,2001,70,88,40013816,"['permanent wave', 'pop']",557924249,4202
In My Place,Coldplay,2002,74,88,40013816,"['permanent wave', 'pop']",1642642027,4060
The Scientist,Coldplay,2002,85,88,40013816,"['permanent wave', 'pop']",1642642027,4060
Clocks,Coldplay,2003,81,88,40013816,"['permanent wave', 'pop']",1642642027,4060
God Put a Smile upon Your Face,Coldplay,2003,65,88,40013816,"['permanent wave', 'pop']",18664029,4204
Speed of Sound,Coldplay,2005,72,88,40013816,"['permanent wave', 'pop']",1642642027,4060
Fix You,Coldplay,2005,83,88,40013816,"['permanent wave', 'pop']",1642642027,4060
Talk,Coldplay,2005,1,88,40013816,"['permanent wave', 'pop']",1642647425,4060
The Hardest Part,Coldplay,2006,63,88,40013816,"['permanent wave', 'pop']",557926549,4202
Violet Hill,Coldplay,2008,66,88,40013816,"['permanent wave', 'pop']",775653007,5231
Viva la Vida,Coldplay,2008,84,88,40013816,"['permanent wave', 'pop']",1642647425,4060
Life in Technicolor II,Coldplay,2009,45,88,40013816,"['permanent wave', 'pop']",61171663,5062
Strawberry Swing,Coldplay,2009,56,88,40013816,"['permanent wave', 'pop']",71891753,5308
Christmas Lights,Coldplay,2010,75,88,40013816,"['permanent wave', 'pop']",557926549,4202
Every Teardrop Is a Waterfall,Coldplay,2011,49,88,40013816,"['permanent wave', 'pop']",226481693,4172
Paradise,Coldplay,2011,83,88,40013816,"['permanent wave', 'pop']",1791526106,2497
Charlie Brown,Coldplay,2012,70,88,40013816,"['permanent wave', 'pop']",1642647425,4060
Princess of China,Coldplay,2012,70,88,40013816,"['permanent wave', 'pop']",266779875,3832
Hurts Like Heaven,Coldplay,2012,57,88,40013816,"['permanent wave', 'pop']",22116073,3705
Atlas,Coldplay,2013,51,88,40013816,"['permanent wave', 'pop']",24875927,3372
Magic,Coldplay,2014,74,88,40013816,"['permanent wave', 'pop']",1642647425,4060
A Sky Full of Stars,Coldplay,2014,83,88,40013816,"['permanent wave', 'pop']",1642647425,4060
True Love,Coldplay,2014,56,88,40013816,"['permanent wave', 'pop']",657394561,4782
Ink,Coldplay,2014,61,88,40013816,"['permanent wave', 'pop']",557926549,4202
Adventure of a Lifetime,Coldplay,2015,78,88,40013816,"['permanent wave', 'pop']",1642647425,4060
Hymn for the Weekend,Coldplay,2016,84,88,40013816,"['permanent wave', 'pop']",1791526106,2497
Up&Up,Coldplay,2016,68,88,40013816,"['permanent wave', 'pop']",219084003,2389
A Head Full of Dreams,Coldplay,2016,68,88,40013816,"['permanent wave', 'pop']",1791526106,2497
Everglow,Coldplay,2016,1,88,40013816,"['permanent wave', 'pop']",793233650,4202
Something Just like This,Coldplay,2017,84,88,40013816,"['permanent wave', 'pop']",2102647078,2107
Miracles (Someone Special),Coldplay,2017,61,88,40013816,"['permanent wave', 'pop']",219084003,2389
Higher Power,Coldplay,2021,1,88,40013816,"['permanent wave', 'pop']",1642647425,4060
My Universe,Coldplay,2021,83,88,40013816,"['permanent wave', 'pop']",1372204315,2558
Let Somebody Go,Coldplay,2022,77,88,40013816,"['permanent wave', 'pop']",55129300,296
Moses,Coldplay,2003,39,88,40013816,"['permanent wave', 'pop']",13460092,5026
What If,Coldplay,2006,56,88,40013816,"['permanent wave', 'pop']",1372204315,2558
Lovers in Japan,Coldplay,2008,51,88,40013816,"['permanent wave', 'pop']",1642647425,4060
